split,city,n_samples,task,scope,model_rmse_pw,prior_rmse_pw,delta_rmse_pw,model_mae_pw,prior_mae_pw,delta_mae_pw,n_pixels
train,Bangalore,400,angular_spread,los,15.571409231018553,18.900932209256887,-3.3295229782383338,9.564648053230808,9.61068205403955,-0.04603400080874209,39141364
train,Bangalore,400,angular_spread,nlos,7.497129779115215,7.691046298525046,-0.19391651940983046,1.2641608552731953,0.8937742316250725,0.3703866236481228,33428776
train,Bangkok,300,path_loss,overall,2.105627252639094,2.359096323097942,-0.25346907045884803,1.234974409372149,1.5059686675085264,-0.27099425813637734,35105420
train,Bangkok,300,path_loss,los,1.7723122954243782,2.004121428535591,-0.23180913311121287,1.038488383540345,1.2893774223547385,-0.2508890388143936,30483889
train,Bangkok,300,path_loss,nlos,3.599940026132044,3.9725970058531677,-0.3726569797211239,2.5310076811066846,2.9346171967109047,-0.4036095156042201,4621531
train,Bangkok,300,delay_spread,overall,35.39799960278663,38.693232991374444,-3.2952333885878105,14.002705966439152,13.139512325916415,0.8631936405227361,58612110
train,Bangkok,300,delay_spread,los,39.85124167009866,44.93883744627286,-5.087595776174204,22.53321961344251,21.953623723282725,0.5795958901597835,30483889
train,Bangkok,300,delay_spread,nlos,29.83037426778047,30.513756659994407,-0.6833823922139359,4.75778341465367,3.587241258732121,1.1705421559215492,28128221
train,Bangkok,300,angular_spread,overall,12.626106467570374,15.153826754818242,-2.5277202872478686,6.2803546812466005,6.212761802082555,0.06759287916404588,58612110
train,Bangkok,300,angular_spread,los,15.580091259776369,19.270865358514992,-3.6907740987386237,10.419470577457249,10.825892637590774,-0.4064220601335258,30483889
train,Bangkok,300,angular_spread,nlos,8.313843233895675,8.720168265994465,-0.4063250320987901,1.7945982471564115,1.2132928040177113,0.5813054431387001,28128221
test,Barcelona,50,path_loss,overall,1.7416881610199357,2.0036889755137635,-0.2620008144938277,0.9344432026745677,1.2531851559046627,-0.318741953230095,6889779
test,Barcelona,50,path_loss,los,1.4720219359210962,1.734168974599649,-0.2621470386785527,0.7872502949839435,1.1004195220129616,-0.31316922702901806,6265198
test,Barcelona,50,path_loss,nlos,3.4244225057095545,3.7577010444184378,-0.33327853870888324,2.410941420421219,2.785583465922156,-0.37464204550093694,624581
test,Barcelona,50,delay_spread,overall,32.96503826770543,34.32706448687732,-1.362026219171888,12.120618535312332,10.90116827332443,1.2194502619879017,9564030
test,Barcelona,50,delay_spread,los,34.4889782963889,36.31874198883455,-1.8297636924456526,16.10261464713984,14.918639480872153,1.1839751662676878,6265198
test,Barcelona,50,delay_spread,nlos,29.857360889417475,30.184773171669303,-0.32741228225182795,4.557944132017404,3.2711182969991546,1.2868258350182495,3298832
test,Barcelona,50,angular_spread,overall,11.016416966802472,12.841618496725236,-1.8252015299227633,5.4809714757289925,5.0215821793191395,0.45938929640985293,9564030
test,Barcelona,50,angular_spread,los,12.203211378282369,14.616762640738452,-2.4135512624560835,7.424620992001171,7.060735215142043,0.36388577685912793,6265198
test,Barcelona,50,angular_spread,nlos,8.308120186505631,8.504964426296267,-0.1968442397906358,1.7895591429441262,1.1487878463762713,0.6407712965678549,3298832
train,Bath,35,path_loss,overall,1.4171385034478687,1.7785452025548094,-0.3614066991069407,0.7450620740226487,1.1380272795388304,-0.39296520551618175,6305793
train,Bath,35,path_loss,los,1.2912311111149675,1.6736608349535593,-0.38242972383859186,0.6859622324847932,1.0801915427726678,-0.39422931028787467,5929733
train,Bath,35,path_loss,nlos,2.7175807998126427,2.9786836634885794,-0.2611028636759367,1.6769512186048894,2.0499841907243366,-0.3730329721194472,376060
train,Bath,35,delay_spread,overall,36.82436175591127,40.16256284899101,-3.3382010930797392,14.484490427064726,14.311029169569924,0.173461257494802,7958015
train,Bath,35,delay_spread,los,40.329148114444735,44.3827365163481,-4.053588401903369,18.4027256054362,18.446530364172805,-0.04380475873660572,5929733
train,Bath,35,delay_spread,nlos,23.780101598087708,23.87320106675145,-0.09309946866374119,3.0294328675993123,2.220789031455665,0.8086438361436472,2028282
train,Bath,35,angular_spread,overall,12.99236689885973,15.801780509969324,-2.809413611109594,6.393178498736808,6.677257867147147,-0.2840793684103389,7958015
train,Bath,35,angular_spread,los,14.210447654273338,17.59591739189728,-3.385469737623943,8.012324827694602,8.564814999364222,-0.5524901716696196,5929733
train,Bath,35,angular_spread,nlos,8.481152507546787,8.632411896095553,-0.15125938854876608,1.6595641030635921,1.1589373623074768,0.5006267407561154,2028282
test,Beijing,200,path_loss,overall,1.5490964647950665,1.8530912711006229,-0.3039948063055564,0.8464406935499456,1.1876918181069753,-0.3412511245570298,32906846
