split,subexpert,n_samples,task,scope,model_rmse_pw,prior_rmse_pw,delta_rmse_pw,model_mae_pw,prior_mae_pw,delta_mae_pw,n_pixels
train,dense|low_ant,1472,path_loss,overall,2.4648843055826775,2.812699739971607,-0.3478154343889295,1.5511893748950876,1.8913123011604784,-0.34012292626539087,90198905
train,dense|low_ant,1472,path_loss,los,2.0033904152667668,2.3374943276620876,-0.3341039123953209,1.2785475928995675,1.572235682328083,-0.29368808942851543,65902208
train,dense|low_ant,1472,path_loss,nlos,3.4159671350062193,3.81439279204185,-0.3984256570356308,2.290701222871264,2.756773711699351,-0.46607248882808694,24296697
train,dense|low_ant,1472,delay_spread,overall,26.18341652644342,27.820743424848096,-1.6373268984046767,6.897337471189919,6.407887288689155,0.48945018250076444,234658372
train,dense|low_ant,1472,delay_spread,los,30.86272493666781,34.76838142815806,-3.905656491490248,16.691762590729766,16.868446136001907,-0.17668354527214092,65902208
train,dense|low_ant,1472,delay_spread,nlos,24.110743690482437,24.580044944466202,-0.4693012539837653,3.072444649196828,2.322857683473409,0.7495869657234189,168756164
train,dense|low_ant,1472,angular_spread,overall,11.802100906878191,14.1324744982022,-2.3303735913240082,4.556620120631462,4.748806866015341,-0.19218674538387948,234658372
train,dense|low_ant,1472,angular_spread,los,19.222279858356277,23.970989316733657,-4.74870945837738,13.090473191745644,14.722214748356132,-1.6317415566104874,65902208
train,dense|low_ant,1472,angular_spread,nlos,7.027800022959201,7.302678423140926,-0.27487840018172527,1.2240025539476258,0.8540181839064956,0.36998437004113016,168756164
train,dense|mid_ant,1491,path_loss,overall,2.1892580335551926,2.5384341419568766,-0.349176108401684,1.3447130621912746,1.6874263017841078,-0.3427132395928332,125794907
train,dense|mid_ant,1491,path_loss,los,1.8785731591251584,2.24754733752831,-0.3689741784031517,1.1656168575196375,1.4992517507096303,-0.33363489318999284,99108200
train,dense|mid_ant,1491,path_loss,nlos,3.0799934185389377,3.4079136188033665,-0.3279202002644288,2.009834568303907,2.3862626359347154,-0.37642806763080827,26686707
train,dense|mid_ant,1491,delay_spread,overall,26.029953959692378,27.48812837153892,-1.4581744118465423,6.963463905278502,6.359291421002046,0.6041724842764555,236836585
train,dense|mid_ant,1491,delay_spread,los,26.403515541111094,29.193089537718166,-2.7895739966070714,11.96573910809712,11.634331975252291,0.3314071328448289,99108200
train,dense|mid_ant,1491,delay_spread,nlos,25.757790243705195,26.19267745054786,-0.4348872068426637,3.363868310175728,2.5634161284484183,0.8004521817273096,137728385
train,dense|mid_ant,1491,angular_spread,overall,13.142362004081743,15.932275516150478,-2.7899135120687344,5.7698139452964385,6.014235322622512,-0.2444213773260735,236836585
train,dense|mid_ant,1491,angular_spread,los,17.96356492048985,22.60404564416929,-4.640480723679438,11.689749784276865,12.91068095109097,-1.2209311668141059,99108200
train,dense|mid_ant,1491,angular_spread,nlos,8.050215175735039,8.296170268957,-0.24595509322196207,1.5098773580711053,1.0516104299001279,0.45826692817097747,137728385
train,mixed|high_ant,1323,path_loss,overall,1.4849443409063054,1.7890336630386718,-0.3040893221323664,0.8389280761060072,1.1869114954167659,-0.3479834193107587,234467070
