split,city,subexpert,n_samples,task,scope,model_rmse_pw,prior_rmse_pw,delta_rmse_pw,model_mae_pw,prior_mae_pw,delta_mae_pw,n_pixels
train,Abu Dhabi,dense|mid_ant,61,path_loss,overall,2.8547955768694213,3.2113965420554442,-0.3566009651860229,1.792800137166882,2.1290197405614704,-0.33621960339458834,5855732
train,Abu Dhabi,dense|mid_ant,61,path_loss,los,2.0732145714261407,2.314950176341704,-0.24173560491556323,1.2378095633507014,1.5135497116829764,-0.275740148332275,3840434
train,Abu Dhabi,dense|mid_ant,61,path_loss,nlos,3.9356954064828384,4.444519297188389,-0.5088238907055507,2.850412794100426,3.3018844425396394,-0.4514716484392136,2015298
train,Abu Dhabi,dense|mid_ant,61,delay_spread,overall,54.32745960144831,56.833101743825914,-2.505642142377603,17.995883405767813,16.465848445205165,1.5300349605626486,10841752
train,Abu Dhabi,dense|mid_ant,61,delay_spread,los,46.66303441566321,51.66884548849124,-5.005811072828031,29.048090080769516,28.549193561196468,0.4988965195730479,3840434
train,Abu Dhabi,dense|mid_ant,61,delay_spread,nlos,58.10382023084233,59.475711552425416,-1.3718913215830852,11.933414732367178,9.837769692970666,2.095645039396512,7001318
train,Abu Dhabi,dense|mid_ant,61,angular_spread,overall,14.337393852716325,16.806573600461093,-2.469179747744768,7.189537996545669,6.947134504298751,0.24240349224691737,10841752
train,Abu Dhabi,dense|mid_ant,61,angular_spread,los,17.719363689815427,22.351233690206403,-4.631870000390975,13.82823913504958,15.054855468076655,-1.2266163330270743,3840434
train,Abu Dhabi,dense|mid_ant,61,angular_spread,nlos,12.086851226673348,12.78146468268113,-0.6946134560077812,3.5480101992046356,2.4998051909766312,1.0482050082280043,7001318
train,Abu Dhabi,mixed|high_ant,181,path_loss,overall,1.4317259089938286,1.7772304404610533,-0.3455045314672247,0.795267276635906,1.1731005394717895,-0.3778332628358835,31945600
train,Abu Dhabi,mixed|high_ant,181,path_loss,los,1.3819950911161374,1.7351398746691435,-0.35314478355300616,0.7607179016211368,1.1425287179399306,-0.38181081631879377,30565280
train,Abu Dhabi,mixed|high_ant,181,path_loss,nlos,2.269001062988173,2.5361799152895435,-0.2671788523013703,1.5603157314514111,1.8500713534104778,-0.2897556219590667,1380320
train,Abu Dhabi,mixed|high_ant,181,delay_spread,overall,12.871915892745761,13.767556138101911,-0.8956402453561498,3.8850995583695136,3.1380940662913788,0.7470054920781348,38733272
train,Abu Dhabi,mixed|high_ant,181,delay_spread,los,13.255900790912678,14.330253346820786,-1.0743525559081082,4.611401076953164,3.7712800124540817,0.840121064499082,30565280
