group_type,group,pair,pair_label,task,scope,n_samples,rmse_pw,n_pixels,ssim_pw,ssim_pixels,ssim_sample_mean,ssim_sample_count,map_corr,map_corr_pixels,grad_mag_corr,grad_corr_pixels
topology_class_6,open_sparse_lowrise,prior_vs_model,prior-model,path_loss,overall,5,0.9943910133164038,1165976,0.9677841492328295,1165976,0.9677828443786434,5,0.9844844714268156,1165976,0.9588080939208706,1165951
topology_class_6,open_sparse_lowrise,prior_vs_model,prior-model,path_loss,los,5,0.9961729889231506,1159305,0.9678032327923038,1159305,0.9678010862164668,5,0.9843970787972613,1159305,0.9597780788972956,1159304
topology_class_6,open_sparse_lowrise,prior_vs_model,prior-model,path_loss,nlos,5,0.6102312729055991,6671,0.9644677550016073,6671,0.9575415916245806,5,0.9839416769401833,6671,0.9674758981595453,6647
topology_class_6,open_sparse_lowrise,prior_vs_model,prior-model,delay_spread,overall,5,1.0503392488097443,1226950,0.9766863070415437,1226950,0.9766863070415436,5,0.7426174792841229,1226950,0.6081501283350008,1226950
topology_class_6,open_sparse_lowrise,prior_vs_model,prior-model,delay_spread,los,5,1.0805236641962885,1159305,0.9768856679209319,1159305,0.9766471565189179,5,0.6755112755069943,1159305,0.5884280709818526,1159305
topology_class_6,open_sparse_lowrise,prior_vs_model,prior-model,delay_spread,nlos,5,0.030188067301537377,67645,0.9732696455842429,67645,0.9765430985990655,5,0.09526763847931785,67645,0.7169354693437436,67645
topology_class_6,open_sparse_lowrise,prior_vs_model,prior-model,angular_spread,overall,5,3.0859042139050015,1226950,0.9038898032595996,1226950,0.9038898032595997,5,0.5857991823034825,1226950,0.4742167035506617,1226950
topology_class_6,open_sparse_lowrise,prior_vs_model,prior-model,angular_spread,los,5,3.174558231334957,1159305,0.9068075733111111,1159305,0.9064362627549356,5,0.5836162001425657,1159305,0.46798243241766535,1159305
topology_class_6,open_sparse_lowrise,prior_vs_model,prior-model,angular_spread,nlos,5,0.10447148179994557,67645,0.8538848448803025,67645,0.8552688547546701,5,0.1349713783542047,67645,0.5812097847159202,67645
topology_class_3,mixed,prior,GT-prior,path_loss,overall,5,2.1260393492638117,798634,0.8587128957420139,798633,0.8547619605513186,5,0.9371268840876003,798634,0.738076795724989,798358
topology_class_3,mixed,prior,GT-prior,path_loss,los,5,2.1076045219667545,701813,0.8615345329595617,701812,0.8534353475519524,5,0.9126350892904576,701813,0.7322660947725778,701761
topology_class_3,mixed,prior,GT-prior,path_loss,nlos,5,2.2551647711714633,96821,0.8382601131956489,96821,0.852938011819175,5,0.7818995610798,96821,0.7076961504689498,96597
topology_class_3,mixed,prior,GT-prior,delay_spread,overall,5,8.248647224185095,1065720,0.7722826074955436,1065720,0.7722826074955436,5,0.37640563674469996,1065720,0.19548872607502996,1065720
topology_class_3,mixed,prior,GT-prior,delay_spread,los,5,7.657881282007992,701813,0.7505937533111161,701813,0.7069338696209756,5,0.18706142004957907,701813,0.17472392339770837,701813
topology_class_3,mixed,prior,GT-prior,delay_spread,nlos,5,9.282393951062835,363907,0.8141106564798596,363907,0.8498190074015293,5,0.03926686648781706,363907,0.20632060397740304,363907
topology_class_3,mixed,prior,GT-prior,angular_spread,overall,5,16.03154154753528,1065720,0.544841336119448,1065720,0.544841336119448,5,0.3692955070229784,1065720,0.21154231027182008,1065720
topology_class_3,mixed,prior,GT-prior,angular_spread,los,5,18.05926523433044,701813,0.467300612988136,701813,0.422954102316644,5,0.31362825655295073,701813,0.21533869021555588,701813
topology_class_3,mixed,prior,GT-prior,angular_spread,nlos,5,11.121867082830738,363907,0.6943825307734542,363907,0.7127836181048794,5,0.0640959860752114,363907,0.19824368216671526,363907
topology_class_3,mixed,model,GT-model,path_loss,overall,5,1.8359003987327145,798634,0.8842259278853133,798633,0.8813518955518174,5,0.9557276811595365,798634,0.7996540480685765,798358
topology_class_3,mixed,model,GT-model,path_loss,los,5,1.815184178663401,701813,0.8889149773836659,701812,0.8835429284982311,5,0.94101530130791,701813,0.8034725084182539,701761
topology_class_3,mixed,model,GT-model,path_loss,nlos,5,1.9795927260151942,96821,0.8502371113420235,96821,0.8684246913953274,5,0.8030680345851622,96821,0.7215018963609887,96597
topology_class_3,mixed,model,GT-model,delay_spread,overall,5,7.653849419307837,1065720,0.756105731858539,1065720,0.7561057318585391,5,0.5411780037218848,1065720,0.3395737664863889,1065720
