group_type,group,task,scope,n_samples,gt_prior_rmse,gt_model_rmse,delta_model_minus_prior_rmse,prior_model_rmse,gt_prior_ssim,gt_model_ssim,delta_model_minus_prior_ssim,prior_model_ssim,gt_prior_map_corr,gt_model_map_corr,delta_model_minus_prior_map_corr,prior_model_map_corr,gt_prior_grad_corr,gt_model_grad_corr,delta_model_minus_prior_grad_corr,prior_model_grad_corr
topology_class_3,mixed,delay_spread,nlos,5,9.282393951062835,9.173828389339807,-0.10856556172302767,1.1482890328596491,0.8141106564798596,0.7441948137879764,-0.06991584269188322,0.8404429008956935,0.03926686648781706,0.11778444762601817,0.0785175811382011,0.35735978129506457,0.20632060397740304,0.3053823168928583,0.09906171291545524,0.756046571205643
topology_class_3,mixed,angular_spread,overall,5,16.03154154753528,12.869153904912022,-3.1623876426232584,6.078778973924292,0.544841336119448,0.5849298509397236,0.040088514820275645,0.6830762787965573,0.3692955070229784,0.6598227006592576,0.2905271936362792,0.6557068597714978,0.21154231027182008,0.42636887306650634,0.21482656279468626,0.6086694927387033
topology_class_3,mixed,angular_spread,los,5,18.05926523433044,13.75910321998141,-4.300162014349029,7.447174056906985,0.467300612988136,0.544079096936916,0.07677848394878001,0.6454810498763611,0.31362825655295073,0.6840862533160404,0.3704579967630897,0.5472151403855823,0.21533869021555588,0.4360265992550485,0.22068790903949262,0.5455955886549644
topology_class_3,mixed,angular_spread,nlos,5,11.121867082830738,10.95046672509438,-0.1714003577363581,1.1208513929282902,0.6943825307734542,0.6637125899883607,-0.030669940785093552,0.7555805735591467,0.0640959860752114,0.16679715993219105,0.10270117385697965,0.3398328521603493,0.19824368216671526,0.3934629009832015,0.19521921881648627,0.7142514750034336
topology_class_3,open,path_loss,overall,5,1.366769526692293,0.832218347265848,-0.534551179426445,0.9943910133164038,0.9439225067325453,0.9798768798590883,0.03595437312654304,0.9677841492328295,0.9702071242402631,0.98631599921674,0.01610887497647684,0.9844844714268156,0.9127689808264173,0.9452110644963421,0.03244208366992474,0.9588080939208706
topology_class_3,open,path_loss,los,5,1.3657436097687017,0.8276420540553113,-0.5381015557133904,0.9961729889231506,0.9442119343163717,0.9802165826392166,0.03600464832284489,0.9678032327923038,0.9699601722484785,0.9861522011577512,0.016192028909272627,0.9843970787972613,0.9144669500798436,0.9458785768759015,0.03141162679605791,0.9597780788972956
topology_class_3,open,path_loss,nlos,5,1.534675765977843,1.4186764358551966,-0.1159993301226463,0.6102312729055991,0.893624973369045,0.92084238255485,0.027217409185804953,0.9644677550016073,0.8492743972087048,0.866860687896195,0.01758629068749018,0.9839416769401833,0.8449615190872072,0.8721723742056059,0.027210855118398714,0.9674758981595453
topology_class_3,open,delay_spread,overall,5,2.512598061678858,2.3163974047638862,-0.1962006569149719,1.0503392488097443,0.9469557190663692,0.9544106857177308,0.007454966651361583,0.9766863070415437,0.45032001266317323,0.5752545341487496,0.12493452148557638,0.7426174792841229,0.2127012474435517,0.37012467993792686,0.15742343249437515,0.6081501283350008
topology_class_3,open,delay_spread,los,5,2.5819568544220237,2.3798783500375644,-0.2020785043844593,1.0805236641962885,0.9487160151067997,0.9559364346885691,0.007220419581769444,0.9768856679209319,0.36948409874532007,0.5233934704351194,0.15390937168979935,0.6755112755069943,0.20715815190762327,0.35895673890818935,0.1517985870005661,0.5884280709818526
topology_class_3,open,delay_spread,nlos,5,0.5073197391811606,0.5063846547201811,-0.0009350844609794517,0.030188067301537377,0.9167876356729,0.9282622873048737,0.011474651631973698,0.9732696455842429,0.029293248085399123,0.05645836941904423,0.02716512133364511,0.09526763847931785,0.3429930745862259,0.5058188450531793,0.1628257704669534,0.7169354693437436
