city,sample,antenna_height_m
Abu Dhabi,sample_00234,297.03009033203125
Abu Dhabi,sample_00235,64.1128921508789
Abu Dhabi,sample_00236,62.12411117553711
Abu Dhabi,sample_00237,94.74788665771484
Abu Dhabi,sample_00238,42.44904708862305
Abu Dhabi,sample_00239,21.7330322265625
Abu Dhabi,sample_00240,100.61890411376953
Abu Dhabi,sample_00241,85.94234466552734
Abu Dhabi,sample_00242,148.5307159423828
Abu Dhabi,sample_00243,74.7586898803711
Abu Dhabi,sample_00244,320.60650634765625
Abu Dhabi,sample_00245,257.66363525390625
Abu Dhabi,sample_00246,60.53704071044922
Abu Dhabi,sample_00247,276.13726806640625
Abu Dhabi,sample_00248,61.448543548583984
Abu Dhabi,sample_00249,71.15955352783203
Abu Dhabi,sample_00250,63.94446563720703
Abu Dhabi,sample_00251,90.64765167236328
Abu Dhabi,sample_00252,164.3810272216797
Abu Dhabi,sample_00253,316.9202880859375
Abu Dhabi,sample_00254,32.253318786621094
Abu Dhabi,sample_00255,145.5837860107422
Abu Dhabi,sample_00256,57.76938247680664
Abu Dhabi,sample_00257,47.611083984375
Abu Dhabi,sample_00258,46.606136322021484
Abu Dhabi,sample_00259,113.7256851196289
Abu Dhabi,sample_00260,145.29293823242188
Abu Dhabi,sample_00261,241.80076599121094
Abu Dhabi,sample_00262,87.53040313720703
Abu Dhabi,sample_00263,54.837806701660156
Abu Dhabi,sample_00264,113.15778350830078
Abu Dhabi,sample_00265,78.22480773925781
Abu Dhabi,sample_00266,173.85975646972656
Abu Dhabi,sample_00267,112.35889434814453
Abu Dhabi,sample_00268,118.87703704833984
Abu Dhabi,sample_00269,56.88167953491211
Abu Dhabi,sample_00270,202.93301391601562
Abu Dhabi,sample_00271,140.48545837402344
Abu Dhabi,sample_00272,315.5706787109375
Abu Dhabi,sample_00273,38.67641067504883
Abu Dhabi,sample_00274,99.27782440185547
Abu Dhabi,sample_00275,179.30482482910156
Abu Dhabi,sample_00276,37.44004440307617
Abu Dhabi,sample_00277,30.71326446533203
Abu Dhabi,sample_00278,43.64104461669922
Abu Dhabi,sample_00279,44.64340591430664
Abu Dhabi,sample_00280,41.95363998413086
Abu Dhabi,sample_00281,63.9755744934082
Abu Dhabi,sample_00282,170.90890502929688
Abu Dhabi,sample_00283,62.378665924072266
Abu Dhabi,sample_00284,41.02764129638672
Abu Dhabi,sample_00285,71.33016204833984
Abu Dhabi,sample_00286,40.86890411376953
Abu Dhabi,sample_00287,34.985679626464844
Abu Dhabi,sample_00288,86.24297332763672
Abu Dhabi,sample_00289,137.31170654296875
Abu Dhabi,sample_00290,307.7479553222656
Abu Dhabi,sample_00291,267.3890686035156
Abu Dhabi,sample_00292,284.8528747558594
