scope,city_type_6,metric,kind,family,kl,tvd,best,mean,std,skew,excess_kurt
by_class,dense_block_highrise,angular_spread,target_angular_spread,spike_plus_exp,0.632400,0.479400,0,12.947,20.512,1.634,2.632
by_class,dense_block_highrise,angular_spread,target_angular_spread,gmm4,0.666000,0.476900,0,12.947,20.512,1.634,2.632
by_class,dense_block_highrise,angular_spread,target_angular_spread,gmm3,0.666000,0.476900,0,12.947,20.512,1.634,2.632
by_class,dense_block_highrise,angular_spread,target_angular_spread,gmm2,0.666000,0.476900,0,12.947,20.512,1.634,2.632
by_class,dense_block_highrise,angular_spread,target_angular_spread,gamma,1.116600,0.644200,0,12.947,20.512,1.634,2.632
by_class,dense_block_highrise,angular_spread,target_angular_spread,weibull,1.129900,0.655800,0,12.947,20.512,1.634,2.632
by_class,dense_block_highrise,angular_spread,target_angular_spread,lognormal,1.694500,0.764200,0,12.947,20.512,1.634,2.632
by_class,dense_block_highrise,angular_spread,target_angular_spread,skew_normal,2.459600,0.713000,0,12.947,20.512,1.634,2.632
by_class,dense_block_highrise,angular_spread,target_angular_spread,gaussian,2.482500,0.711600,0,12.947,20.512,1.634,2.632
by_class,dense_block_highrise,angular_spread,target_angular_spread,laplace,2.583500,0.752600,0,12.947,20.512,1.634,2.632
by_class,dense_block_highrise,delay_spread,pred_delay_spread,gmm5,0.035100,0.080100,1,19.587,14.625,0.815,-0.624
by_class,dense_block_highrise,delay_spread,pred_delay_spread,gmm4,0.047900,0.102900,0,19.587,14.625,0.815,-0.624
by_class,dense_block_highrise,delay_spread,pred_delay_spread,gmm3,0.157200,0.193900,0,19.587,14.625,0.815,-0.624
by_class,dense_block_highrise,delay_spread,pred_delay_spread,gmm2,0.169100,0.190300,0,19.587,14.625,0.815,-0.624
by_class,dense_block_highrise,delay_spread,pred_delay_spread,gamma,0.295600,0.275700,0,19.587,14.625,0.815,-0.624
by_class,dense_block_highrise,delay_spread,pred_delay_spread,weibull,0.299000,0.275100,0,19.587,14.625,0.815,-0.624
by_class,dense_block_highrise,delay_spread,pred_delay_spread,spike_plus_exp,0.324800,0.301000,0,19.587,14.625,0.815,-0.624
by_class,dense_block_highrise,delay_spread,pred_delay_spread,lognormal,0.387700,0.308300,0,19.587,14.625,0.815,-0.624
by_class,dense_block_highrise,delay_spread,pred_delay_spread,skew_normal,0.480300,0.363200,0,19.587,14.625,0.815,-0.624
by_class,dense_block_highrise,delay_spread,pred_delay_spread,gaussian,0.490000,0.367800,0,19.587,14.625,0.815,-0.624
by_class,dense_block_highrise,delay_spread,pred_delay_spread,laplace,0.635600,0.443400,0,19.587,14.625,0.815,-0.624
