[prior-calibration] try=TFGFortyEighthTry48 device=directml dataset=CKM_Dataset_270326.h5 log_every=50
[prior-calibration] train 6900/11326 valid_pixels=1380593743 zero_ratio=0.260
[prior-calibration] train 6950/11326 valid_pixels=1390630703 zero_ratio=0.260
[prior-calibration] train 7000/11326 valid_pixels=1400156000 zero_ratio=0.260
[prior-calibration] train 7050/11326 valid_pixels=1410447999 zero_ratio=0.260
[prior-calibration] train 7100/11326 valid_pixels=1420524774 zero_ratio=0.260
[prior-calibration] train 7150/11326 valid_pixels=1431096092 zero_ratio=0.259
[prior-calibration] train 7200/11326 valid_pixels=1441062751 zero_ratio=0.259
[prior-calibration] train 7250/11326 valid_pixels=1451302188 zero_ratio=0.259
[prior-calibration] train 7300/11326 valid_pixels=1461286646 zero_ratio=0.259
[prior-calibration] train 7350/11326 valid_pixels=1471517998 zero_ratio=0.259
[prior-calibration] train 7400/11326 valid_pixels=1481508405 zero_ratio=0.259
[prior-calibration] train 7450/11326 valid_pixels=1491922621 zero_ratio=0.259
[prior-calibration] train 7500/11326 valid_pixels=1502145255 zero_ratio=0.259
[prior-calibration] train 7550/11326 valid_pixels=1512349578 zero_ratio=0.259
[prior-calibration] train 7600/11326 valid_pixels=1522236096 zero_ratio=0.259
[prior-calibration] train 7650/11326 valid_pixels=1531929825 zero_ratio=0.260
[prior-calibration] train 7700/11326 valid_pixels=1542452070 zero_ratio=0.259
[prior-calibration] train 7750/11326 valid_pixels=1552669280 zero_ratio=0.259
[prior-calibration] train 7800/11326 valid_pixels=1562383537 zero_ratio=0.259
[prior-calibration] train 7850/11326 valid_pixels=1572325911 zero_ratio=0.260
[prior-calibration] train 7900/11326 valid_pixels=1582222772 zero_ratio=0.259
[prior-calibration] train 7950/11326 valid_pixels=1591841530 zero_ratio=0.260
[prior-calibration] train 8000/11326 valid_pixels=1601799624 zero_ratio=0.260
[prior-calibration] train 8050/11326 valid_pixels=1611375310 zero_ratio=0.260
[prior-calibration] train 8100/11326 valid_pixels=1621458688 zero_ratio=0.260
[prior-calibration] train 8150/11326 valid_pixels=1631599661 zero_ratio=0.260
[prior-calibration] train 8200/11326 valid_pixels=1641469257 zero_ratio=0.260
[prior-calibration] train 8250/11326 valid_pixels=1651357187 zero_ratio=0.260
[prior-calibration] train 8300/11326 valid_pixels=1661122307 zero_ratio=0.260
[prior-calibration] train 8350/11326 valid_pixels=1670974572 zero_ratio=0.260
[prior-calibration] train 8400/11326 valid_pixels=1681388503 zero_ratio=0.260
[prior-calibration] train 8450/11326 valid_pixels=1691518830 zero_ratio=0.260
[prior-calibration] train 8500/11326 valid_pixels=1701620483 zero_ratio=0.260
[prior-calibration] train 8550/11326 valid_pixels=1711680496 zero_ratio=0.260
[prior-calibration] train 8600/11326 valid_pixels=1721256261 zero_ratio=0.260
[prior-calibration] train 8650/11326 valid_pixels=1731176450 zero_ratio=0.260
[prior-calibration] train 8700/11326 valid_pixels=1741287138 zero_ratio=0.260
[prior-calibration] train 8750/11326 valid_pixels=1751465091 zero_ratio=0.260
[prior-calibration] train 8800/11326 valid_pixels=1761443841 zero_ratio=0.260
[prior-calibration] train 8850/11326 valid_pixels=1771502354 zero_ratio=0.260
[prior-calibration] train 8900/11326 valid_pixels=1781378876 zero_ratio=0.260
[prior-calibration] train 8950/11326 valid_pixels=1791124323 zero_ratio=0.260
[prior-calibration] train 9000/11326 valid_pixels=1800818058 zero_ratio=0.261
[prior-calibration] train 9050/11326 valid_pixels=1810745374 zero_ratio=0.261
[prior-calibration] train 9100/11326 valid_pixels=1820864640 zero_ratio=0.261
[prior-calibration] train 9150/11326 valid_pixels=1830532206 zero_ratio=0.261
[prior-calibration] train 9200/11326 valid_pixels=1840090879 zero_ratio=0.261
[prior-calibration] train 9250/11326 valid_pixels=1850025945 zero_ratio=0.261
[prior-calibration] train 9300/11326 valid_pixels=1860042178 zero_ratio=0.261
[prior-calibration] train 9350/11326 valid_pixels=1869894921 zero_ratio=0.261
[prior-calibration] train 9400/11326 valid_pixels=1879781376 zero_ratio=0.261
[prior-calibration] train 9450/11326 valid_pixels=1889471060 zero_ratio=0.261
[prior-calibration] train 9500/11326 valid_pixels=1899371706 zero_ratio=0.261
[prior-calibration] train 9550/11326 valid_pixels=1909029834 zero_ratio=0.261
[prior-calibration] train 9600/11326 valid_pixels=1919263365 zero_ratio=0.261
